,source_notebook,section,point_id,statement
23,eda_02_temporal_patterns.ipynb,## Implications for feature engineering,2,Voeg jaar/regime-indicatoren en interacties met locatie/tier toe om structurele heterogeniteit op te vangen.
24,eda_02_temporal_patterns.ipynb,## Implications for feature engineering,3,Overweeg dataset-specifieke feature pipelines (shortterm versus longterm).
25,eda_02_temporal_patterns.ipynb,## Implications for feature engineering,4,Gebruik kwaliteitsflags uit `eda_00` als sensitiviteitslaag in feature-evaluatie.
26,eda_03_spatial_patterns.ipynb,## Key findings,1,"Centrum versus outer geeft een duidelijk niveauverschil in bezetting, maar binnen-tier heterogeniteit blijft groot."
27,eda_03_spatial_patterns.ipynb,## Key findings,2,Capaciteit verklaart bezetting niet uniform over datasets; relationele richting is datasetafhankelijk.
28,eda_03_spatial_patterns.ipynb,## Key findings,3,Parkingprofielen clusteren slechts gedeeltelijk per tier: parking-specifieke modellering lijkt noodzakelijk.
29,eda_03_spatial_patterns.ipynb,## Key findings,4,"Event- en saturatiepatronen tonen relevante spatial interacties, maar met beperkte causaliteitszekerheid."
30,eda_03_spatial_patterns.ipynb,## Implications for feature engineering,1,"Combineer coarse spatial features (`tier`, `location_category`) met parking-level statistische profielen."
31,eda_03_spatial_patterns.ipynb,## Implications for feature engineering,2,"Voeg interactiefeatures toe: `event × tier`, `event × parking`, `time × tier`."
32,eda_03_spatial_patterns.ipynb,## Implications for feature engineering,3,Ontwikkel saturatie-/pressure-indicatoren op systeemniveau (centrumdruk) als kandidaatspilloverfeatures.
33,eda_03_spatial_patterns.ipynb,## Implications for feature engineering,4,Gebruik dataset-specifieke feature treatment voor shortterm en longterm waar spatial relaties uiteenlopen.
34,eda_04_external_factors.ipynb,## Key findings,1,Externe drivers zijn relevant maar sterk contextafhankelijk; één globale lineaire effectstructuur is onvoldoende.
35,eda_04_external_factors.ipynb,## Key findings,2,Wind en bepaalde calendar/eventsignalen zijn robuuster dan neerslag- en zonneschijneffecten.
36,eda_04_external_factors.ipynb,## Key findings,3,Temperatuur werkt duidelijk interactief met seizoen en dataset.
37,eda_04_external_factors.ipynb,## Key findings,4,"Eventeffecten zijn heterogeen in teken en grootte, met duidelijke confoundingrisico's."
38,eda_04_external_factors.ipynb,## Implications for feature engineering,1,Gebruik niet-lineaire transformaties (bins/splines) voor weerfeatures in plaats van enkel lineaire termen.
39,eda_04_external_factors.ipynb,## Implications for feature engineering,2,"Voeg systematisch interactietermen toe: `weather × season`, `event × tier`, `holiday × tier`, `external × dataset`."
40,eda_04_external_factors.ipynb,## Implications for feature engineering,3,Behandel shortterm en longterm als aparte feature-contexten.
41,eda_04_external_factors.ipynb,## Implications for feature engineering,4,Voeg kwaliteitscontext toe (`data_confidence`) in sensitiviteitsanalyses van eventfeatures.
42,eda_05_shortterm_vs_longterm.ipynb,## Hypothese-overzicht,1,**H-LT1**: supported. `shortterm` en `longterm` tonen structureel verschillende bezettingsregimes.
43,eda_05_shortterm_vs_longterm.ipynb,## Hypothese-overzicht,2,**H-LT2**: supported. Verschillen blijven zichtbaar in de faire vergelijking (2024 + common parkings).
44,eda_05_shortterm_vs_longterm.ipynb,## Hypothese-overzicht,3,"**H-LT3**: partially supported. `longterm` heeft lagere `std` en piekfrequentie, maar niet consequent lagere IQR."
45,eda_05_shortterm_vs_longterm.ipynb,## Hypothese-overzicht,4,"**H-LT4**: partially to strongly supported. Externe gevoeligheid is gemiddeld lager in LT (vooral weather), maar niet uniform per driver."
46,eda_05_shortterm_vs_longterm.ipynb,## Hypothese-overzicht,5,**H-LT5**: supported. Temporal memory en correlatiestructuur verschillen duidelijk.
47,eda_05_shortterm_vs_longterm.ipynb,## Hypothese-overzicht,6,"**H-LT6**: supported. LT is methodologisch onvoldoende sterk voor primaire Phase 3/4-modellering, maar bruikbaar als secundaire robustness-track."
48,eda_05_shortterm_vs_longterm.ipynb,## Key findings,1,"ST en LT vormen verschillende gedragsregimes, ook onder faire vergelijkingsrestricties."
49,eda_05_shortterm_vs_longterm.ipynb,## Key findings,2,LT heeft doorgaans lagere piekintensiteit en andere dynamiek-/responsstructuur dan ST.
50,eda_05_shortterm_vs_longterm.ipynb,## Key findings,3,Externe effecten zijn niet stabiel overdraagbaar tussen ST en LT.
51,eda_05_shortterm_vs_longterm.ipynb,## Key findings,4,"LT (1 jaar, beperkte en oneven coverage) is zwak als primaire modelbasis voor de thesis-hoofdtrack."
52,eda_05_shortterm_vs_longterm.ipynb,## Implications for feature engineering,1,Bouw de primaire feature pipeline voor shortterm en gebruik LT enkel secundair.
53,eda_05_shortterm_vs_longterm.ipynb,## Implications for feature engineering,2,"Gebruik gedeelde featurefamilies, maar met dataset-specifieke interacties/regularisatie."
54,eda_05_shortterm_vs_longterm.ipynb,## Implications for feature engineering,3,Leg fairness-scopes vast (tijd + parkingoverlap) voor elke ST-LT vergelijking in volgende notebooks.
55,eda_05_shortterm_vs_longterm.ipynb,## Implications for feature engineering,4,Voeg coverage- en representativiteitschecks als vaste rapporteringslaag toe.
